epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,219.079,1.46569,0.50998,1,1.21453,0.000368075,0.000368075,0.000368075
2,437.669,1.05113,0.67332,1,0.80097,0.000714041,0.000714041,0.000714041
3,655.689,0.91434,0.63884,1,0.82363,0.00103556,0.00103556,0.00103556
4,872.007,0.82153,0.70599,1,0.72961,0.00100101,0.00100101,0.00100101
5,1087.8,0.75496,0.71688,1,0.75907,0.000964348,0.000964348,0.000964348
6,1302.9,0.67292,0.74047,1,0.67895,0.000927685,0.000927685,0.000927685
7,1518.34,0.65558,0.75681,1,0.66882,0.000891022,0.000891022,0.000891022
8,1734.19,0.58175,0.72051,1,0.8225,0.000854359,0.000854359,0.000854359
9,1949.44,0.58052,0.77858,1,0.55686,0.000817696,0.000817696,0.000817696
10,2164.89,0.55282,0.7677,1,0.59562,0.000781033,0.000781033,0.000781033
11,2380.41,0.483,0.78221,1,0.61831,0.00074437,0.00074437,0.00074437
12,2596.12,0.46761,0.80036,1,0.56324,0.000707707,0.000707707,0.000707707
13,2811.31,0.46893,0.80218,1,0.52833,0.000671044,0.000671044,0.000671044
14,3027.09,0.45868,0.80944,1,0.56978,0.000634381,0.000634381,0.000634381
15,3242.54,0.39906,0.78221,1,0.61589,0.000597718,0.000597718,0.000597718
16,3458.41,0.38441,0.81125,1,0.57365,0.000561055,0.000561055,0.000561055
17,3673.57,0.38487,0.7931,1,0.60064,0.000524392,0.000524392,0.000524392
18,3888.75,0.36581,0.79492,1,0.58795,0.000487729,0.000487729,0.000487729
19,4103.82,0.33116,0.81125,1,0.57745,0.000451066,0.000451066,0.000451066
20,4319.21,0.3228,0.81125,1,0.63242,0.000414403,0.000414403,0.000414403
21,4534.66,0.33606,0.80218,1,0.60348,0.00037774,0.00037774,0.00037774
22,4751.28,0.29023,0.78766,1,0.6755,0.000341077,0.000341077,0.000341077
23,4966.84,0.3089,0.7804,1,0.65745,0.000304414,0.000304414,0.000304414
24,5182.27,0.28794,0.80399,1,0.57938,0.000267751,0.000267751,0.000267751
25,5399.33,0.25267,0.81851,1,0.55953,0.000231088,0.000231088,0.000231088
26,5615.42,0.2617,0.79855,1,0.61123,0.000194425,0.000194425,0.000194425
27,5831.17,0.25848,0.79673,1,0.59576,0.000157762,0.000157762,0.000157762
28,6046.19,0.24514,0.80762,1,0.61436,0.000121099,0.000121099,0.000121099
29,6261.72,0.24371,0.81307,1,0.55977,8.4436e-05,8.4436e-05,8.4436e-05
30,6476.32,0.21723,0.80581,1,0.59391,4.7773e-05,4.7773e-05,4.7773e-05
